Name,PostTitle,PostDescription,Date,Time,ReplyCount
bbink0915,Hpv and depression - Sexually transmitted diseases,"I am a female and I have hpv. First symptoms were when I was 18 years old with an outbreak of warts. I am now 35 and had another outbreak 2 years ago. My current fiancé was diagnosed with warts 2 months ago. I feel like it's all my fault. We have been together for almost 2 years. My concern is cancer.  I constantly research and look for answers and it has caused me severe depression.  It's like I just sit around and wait for cancer to happen. I know that warts are a low risk type, but I also know that I could have high risk types as well. My ex husband was horrible to me. I was abused in all ways by him. Including sexual abuse.  Is there any test to detect anal infection? I know I need regular Pap smears done. ","June 25, 2018 ",  5:04 am,3 
sarah456Lion,Contracting Chlamydia through oral sex - @sarah456Lion - Sexually transmitted diseases - 20180619,"I was wondering if it was possible to contract genital chlamydia through swallowing cum. I have always used condoms however with sex. Edited June 19, 2018 at  4:40 am","June 17, 2018 ",  2:29 pm,1 
fenix2007,Oral herpes! - @fenix2007 - Sexually transmitted diseases - 20180617,Long story short I had an exam back in 2015 for all STD And were all negative except I showed oral herpes type 1. Probably I got it from my mom.My husband never showed any symptoms. Now 2018 that’s I’m getting divorce I start dating. I feel shame to tell the guy that I have the Oral herpes virus but no mouth blisters and for that reason I don’t like to give blow jobs. I don’t even feel like kissing nobody even when half of the population has Herpes. I feel ashamed and feel like I should date ,"June 19, 2018 ",  4:39 am,1 
Brian,Announcement: an update on tags,"Members,This afternoon, we will remove all tags from Inspire until we can better address the concerns you have raised, and give you more control over this feature. I am sorry that we launched this feature too quickly, without enough member feedback, and I thank all of you who took the time to voice your opinions and give us helpful feedback.With this in mind, there are a few things I’d like to discuss.What was the point of tags, anyway?  We created tags in order to give you another way to search for what you need. Clicking on tags was meant to be convenient, fast, and accurate. But two out of three is not good enough: regarding accuracy, we have been working continuously to remove all the irrelevant and off-topic tags. We should have removed those off-topic tags before making the feature available. We also wanted tags to be something members could add to their own posts in order to help other members find useful things to read.Member involvement:  We did a lot of testing before launching this new feature, but clearly not enough. To many members, it seemed that tags appeared suddenly, with little or no consideration of whether they would be appreciated. And so we have changed our plans for creating future features. Part of these plans are to greatly expand member testing. Our first member focus group is scheduled for May 24. If you would like to get involved with future member testing, please reach out to team@inspire.com.  Privacy:  Nothing has changed about privacy at Inspire. Ensuring your safety remains our top priority, and we do numerous things to protect your information and your identity, and to provide you control.Support:  We have a 24/7 team of Community Managers who are here to support you and help you understand how to use Inspire. This is their full-time job. If you ever need help, don’t hesitate to reach out.As always, we want you to continue to tell us what you think. Most of the features in Inspire are the result of your suggestions and ideas, which is the way things should be.Thank you,Brian ","June 17, 2018 ", 12:39 pm,66 
Gumby3939,Icy Hot feeling on Penis - Sexually transmitted diseases,"Long story short, I made the stupid decision to sleep with an escort on Saturday. In the beginning, maybe 5 minutes in, I pulled out and realized the condom broke. I was with a broken condom for maybe a minute or two. I put a new one on and finished. I also received unprotected oral. Following the next day, I started to notice an Icy Hot/burning like feeling on the top of my penis on the head and the tip. No discharge, no bumps, no discoloration, no pain, etc. When I pee, it also feels a little hot/burning but doesn't hurt. I contacted her and claimed she was clean. I met her down at the testing center where she got tested in front of me and are waiting for the results. She swears up and down she is clean and has never had sex without a condom and I was the first time she had a broken condom incident. She also said she gets tested regularly and was tested a month ago, but agreed to test in front of me to ease my mind. We should have those results by the end of the week. Today is the second day after, and I still have an icy hot/burning feeling. When I wake up, it feels fine. but once I get up and going, it'll slowly creep on me. It will also come and go throughout the day I've noticed. I'm afraid she may have given me an STD or STI. I'm more worried it could be something uncurable and have been freaking out since considering I'm only 21 and about to head off to college. I, of course, plan to get tested soon, but sucks I have to wait so long until testing can properly tell. Does this sound like anything to you guys? Edited June 11, 2018 at  8:09 pm","May 14, 2018 ",  4:46 pm,2 
oxolotltl,"Unknown STD, someone able to help? - Sexually transmitted diseases","Hello community!I wanted to take the chance and share my story. Maybe someone can help me out here.The beginning of my Story lies in the beginning of January, where I had unprotected intercourse with a woman in the Philippines.We spent a week together, had a wealthier background and works for a Multinational. So no random street hookup.Over the course of the week we had all kind of sexual practices, including oral and anal sex.Well, I get home at the mid of January, and I got an eye infection (pink eye) together with burning in penis and pain in my genitals.My doctor tested me on gonorrhea & chlamydia, both tests negative, but he was still quite convinced that it is chlamydia. So he prescribed me Doxycyclin, what I took for around 2 weeks. Symptoms gone, all fine. Out of my mind.In March I had sex with another girl, and as she told me later on, she had some problems after we had sex.This brought things back up for me again. And several weeks later some different symptoms started to come back up for me again.I had again tests for all major STDs (HIV, Gonorrhea, Chlamydia, Syphillis, Hepatitis), all negative.Was in the hospital regarding another issue and had kind of an under the radar antibiotic injection, because the doctor thought it sounds like gonorrhea.But all of this did not do the trick, and something is still not right.My symptoms:-Dry penis skin under foreskin, sometimes almost scaly-itching tip of penis & sometimes slight pain-some slight skin changes under foreskin (area of tiny white spots under my foreskin, had a slightly purple spot on the tip of my penis for a while)-sensibility of penis-pain in my epididyms/pain in the scrotum (I am not sure)-itching anusI went to a hospital with a specialized STD-centre.The doctor looked at it and told me that it is a Mycose/fungal disease and gave me a creme, which I used for the prescribed 3 weeks, and it is still going on.When I went back 2 weeks ago, they gave me Moxifloxacin antibiotics 400mg for 10 days, but my problems are still there.So, this is my story.As it seems, it is not really bacterial related. If so, I probably have by now produced some super resistant populations within me, with all the different kind of antibiotics handed out to me!So, I would massively appreciate if someone could help me out!I am quite hopeless these days.All the best to all of you! ","June 11, 2018 ",  6:10 pm,3 
Loverboy,Condyloma carrier? - Sexually transmitted diseases,"A married woman with whom I have a FWB sexual relationship with for a year (always using condoms) informed me recently that a previous lover from over a year ago contacted her to tell her his wife was just diagnosed with condyloma...genital warts. He was sure he contracted it from the woman who is presently my lover, claiming he was only with her and he is sure his wife isnt cheating on him. From the situation (assuming what he claims is the truth) it seems clear my present lover is likely to be carrying the disease which means I too am probably carrying it as well as my wife(!?). She (lover) immediately went to get tested (visual and PAP smear). Her Md. reasured her she has no symptoms and nothing to worry about claiming the symtoms take 3 months to show up and since a year has passed with no signs , she is in the clear. I disscused the situation with my dermatologist who checked me visually and reassured me I have nothing to worry about. BUT I still don't have an answer to my question based on what I have read on the net. I understand one can carry the HPV virus without symtoms for 2 yrs or more. There is no true test to check if you are carrying the virus right? So couldnt the symtoms appear later than 3 months? Can I be sure my lover is not carrying the  virus from previous encounters? Or if she is carrying it then I  basically already am carrying it (probably my wife too?). So basically my question is, should I trust what both doctors are saying and continue worry free with my lover, or assume there is a huge risk by continuing to be intimate with my lover. Of course theres still the question where the previous lover's wife contracted it....unless of course she or her husband are dishonest and have been with others....... Edited May 24, 2018 at 10:52 am","May 28, 2018 ", 10:26 am,2 
JohnNovack,"New ""Experts by Experience"" columns","From: John Novack, InspireDear members, I'm writing to share with you the latest in a series of patient-written “Experts by Experience” columns, as part of our collaboration with Mayo Clinic. ""Learning to Trust Again – My Journey with Drug Intolerance,"" is by Kelly Dubois, who was born with the inability to properly metabolize many medications due to certain mutated genes. Her column chronicles the challenges of finding clinicians who understood and could treat her safely and effectively. Her column is here: https://socialmedia.mayoclinic.org/2018/05/04/learning-to-trust-.... ""After Surviving a Brain Tumor, I Made Time My Friend,"" by Claire Snyman, details how she manages the long-term complications of being a brain tumor survivor: https://socialmedia.mayoclinic.org/2018/04/20/after-surviving-a-.... ""Five years out from the day my life was saved, I continue to remind myself, that time is my friend,"" she wrote. ""I breathe in the small things, be my body’s own advocate and aim for balance.""We invite you to comment on the two columns, and share them and other columns in the series widely. You can learn more about twice-monthly ""Experts by Experience"" guest column series here: https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-inspir....Thanks for being Inspire members. Sincerely,John NovackCommunications DirectorInspirejohn@inspire.com ","May 24, 2018 ", 10:50 am,2 
filmfan67,Anal HPV PAP smear - Sexually transmitted diseases,"Hi. I have posted before as I was diagnosed with anal HPV 33 infection.  I had the result of anal PAP smear and it came back with no abnormal cells detected but I'm not really reassured as I know the smear is probably only about 70% accurate.  My doctor recommends repeating in 3 years, although I expected him to say 2 years.  I  am thinking of finding another doctor to refer me for an HR anoscopy.  All this is an addition to worry about HPV related throat cancer about which there is news of an epidemic in middle aged men almost every day.  I am sure I am not the only middle aged man for whom worry about this has effectively taken over their life.  I just feel that the axe of a cancer diagnosis could fall at any time.  Is there ANY hope of curing or at least containing high risk HPV infections? ","May  4, 2018 ",  3:05 pm,3 
Brian,Patients and caregivers are “Experts by Experience”,"Dear members, Today we are excited to announce that Inspire and Mayo Clinic have launched “Experts by Experience” – a series of columns written by patients and caregivers from around the world. The kickoff column is Kindness at the Margins for Caregivers, by patient advocate Renata Louwers.   A main purpose of the series is to bring the patient perspective to people who can learn from these experiences. We hope that reading these stories will educate and inform about experiences through first-hand accounts, and paint a picture of the day in the life of a patient or caregiver. We, along with Mayo Clinic, believe that through a deeper appreciation and understanding of patients’ perspectives, everyone involved in healthcare can learn and discover opportunities to improve quality and efficiency. in the belief that through a deeper appreciation and understanding of patients’ perspectives, everyone involved in healthcare can learn and discover opportunities to improve quality and efficiency. The columns will appear monthly in communities here on Inspire.com, and on Mayo Clinic Social Media Network. We hope that you share the columns widely. You can learn more about the collaboration via this announcement by Mayo Clinic and Inspire. If you have feedback on the series, please contact Inspire’s communications director, John Novack, via john@inspire.com. Thank you for being Inspire members. Together we’re better, Brian LoewCEO, Inspire "," 2, 2018",11:24 am,68 
Brian,Announcing a new feature - Tags,"Dear members,In a few moments we will launch an exciting new feature for posts that we hope will make them even more useful and informative: tags.Tags, as you have likely seen in other contexts like Twitter (they often appear with the ‘#’ hash symbol), help organize information into categories. They make it easier both to describe something and to search for it later.Beginning today, you will see a collection of tags at the end of every post (it takes about 1-5 minutes for tags to appear on new posts). Tags are listed in order of most-relevant to least-relevant. You can click on any tag to view a list of other discussions and journals with that tag, and sort that list by relevance or date. This means you will see posts by Inspire members who may not be in one of your communities, but who might have written something that is very important to you.For example, clicking on #PainManagement would show a list of relevant posts from the Chronic Pain community but also potentially useful posts in cancer, autoimmune diseases, arthritis, and other communities where pain management is an important topic. You can search for relevant tags at https://www.inspire.com/tag.You can also remove a tag from any post or comment you wrote by clicking the pencil icon next to the tag list. While the tagging system is highly accurate, it's not perfect, so we designed it to give you control over the tags for what you've written.For now, only discussions and journals are searchable, but we know the comment sections can be a rich source of information too, so the ability to search for comments associated with tags is coming soon. We will continue to refine the tagging feature to make it better and give you even more control over how it can be used. In the future, you will be able to:- Search for tags directly in the Inspire search engine- Filter tags by community- Create your own tags- Subscribe to tags so they appear on your home page and in your emails from Inspire- Find posts that contain two or more tagsWe strive to make it as easy as possible for you to find the information and support you need, so as you explore this feature, please share your thoughts about it here or at team@inspire.com. We want to know what works, what doesn’t, and any other suggestions you may have for improvement. Thank you!Together, we’re better.Brian Edited May  8, 2018 at  1:32 pm","February  2, 2018 ", 11:24 am,266 
MarzipanBunni,Living WIth Herpes - Sexually transmitted diseases,What is your sex life like with new partners after diagnosis? ,"May  8, 2018 ", 12:24 pm,1 
o0o,Worried about getting HPV from active person. - Sexually transmitted diseases,"I have a brother who is dating a girl who likely has cervical cancer. She has done a pap test and there were abnormalities shown. She is due to be tested again in the near future.I'm worried I may possibly get HPV from my brother's girlfriend or from my brother from indirect contact (touching same surfaces, using the same hand towel, sweat, from coughing, sneezing, etc). I guess I have a few questions:1. How likely is it for me to get HPV through indirect or direct, nonsexual contact (shaking hands, sweat, etc)?2. If I were to get HPV through my brother/brother's girlfriend is the HPV I get immediately cancerous? If not, how likely is it that it becomes cancerous?3. If HPV is dormant, is it still possible to get it from someone, or does the HPV need to be active?4. How careful do I need to be around those who actively have HPV?Sorry for the lengthy post, but just worried about how I may get HPV and be transmitting something horrible to my girlfriend. ","May 14, 2018 ",  8:46 am,4 
lemonlimetoast,red lesions swollen tonils - Sexually transmitted diseases,"a year ago, i woke up to red, painless splotches on the insides of my lips and at the back of my throat. after healing, I've been seeing sporadic red lesions on the insides of my lips and cheeks that heal in a day. i also have had swollen tonils and reoccurring tonsil stones for a five months. i received unprotected oral a month before these symptoms and have noticed no symptoms on my genitals ","April 30, 2018 ",  3:05 pm,2 
Fredo101,April is #STDMonth18 - Sexually transmitted diseases,"Each April ASHA recognizes STD Awareness Month. Visit our #STDMonth18 page for free downloads and more: http://www.ashasexualhealth.org/sexually-transmitted-diseases-aw.... According to the Centers for Disease Control and Prevention (CDC):• There are 20 million new cases of sexually transmitted diseases (also referred to as sexually transmitted infections) in the U.S. every year• The medical costs for these new cases are $16 billion• Adding the new cases each year with existing infection, there are an estimated 110 million total STDs among Americans.People may not know they have an STD because many do not have symptoms, and they can cause serious health consequences if they are not detected and treated appropriately. For example, chlamydia left untreated can put a woman at risk for pelvic inflammatory disease, a condition that can lead to infertility. To spread the message about the importance of STD testing ASHA is continuing the “YES Means TEST™” initiative to educate and empower young adults who say “YES” to sexual activity also to say “YES” to getting tested for STDs.STD testing can be confidential and free or low-cost, and common STDs, such as chlamydia or gonorrhea, are usually effectively treated with antibiotics. For more information about STDs, “YES Means TEST” or how and where to get tested, visit www.yesmeanstest.org. Join the conversation online with #YESmeansTEST. ","April  6, 2018 ", 12:45 pm,0 
Jimhalpert,Hiv anxiety? - Sexually transmitted diseases,Hi.I am a 23 yr old guy from the philippines.6 months ago i had an encounter with a cheap sex worker.We engage to protected sexual intercourse and unprotected oral(blow job and cunnilingus) note that on the cunnilingus part i only use my lower lip to stimulate her for a few minutes.Fast forward to october i developed an eye stye on the same month i saw a white lump on my testicle thought it was hpv but the doc said it is just a whitehead. Fast forward to november. I saw some pimple like dots on my body i searched the internet and saw it is a sign of hiv. (Which i know is a wrong thing to do). These following months seems like my skin is discoloring there are this white like spots under it i also see red spots on my skin and today as i was taking a bath i noticed that there is a red purplish rash like stretchmark on my groin left side of my genitals. It is hard to get tested here in our country and i am the breadwinner of our family i think i have let them down by doing this stupid thing. I think i have hiv.I hope someone could read this and assess my risk.Thank you. ,"April  2, 2018 ", 10:05 am,1 
Ally7799,Boyfriend is upset at me - Sexually transmitted diseases,My boyfriend called me a nasty b and other hateful things when we both found out I gave him hpv and warts. Am I wrong to feel very hurt? I understand his feelings of being resentful but that stings. how am I going to let him touch me after something like that? If he even wants to again. ,"March 31, 2018 ",  1:20 am,5 
magicdog8893,Problems of Premature Ejaculation - Sexually transmitted diseases,"Hi, this isnt the easiest topic to reach out about, but it is something that is affecting me mentally very much.  I feel that I have issues involving premature ejaculation.   I know this is considered a type of erectile dysfunction, but when I search that out, most of the information pertains to men who cannot gain an erection.  I have no issue becoming erect.   BUT, I do not believe I have been sexually satisfying to my partners.  I feel like I have never learned how to control the release.   I know it should be within someone's mental control, but I become so excited during sex that I ejaculate very quickly.  Thinking about it last night, I was making the analogy to myself that maybe its like a child becoming potty trained...something that has to become learned and then isnt thought about much thereafter.  I am 40 years old and have been married for 10 years.  We are now getting divorced but for other reasons.  My wife and I have not been intimate for more than a handful of times over the last two years while going through this process.  Now that I am about to start dating again, I am already feeling performance anxiety and wouldnt want to lose out on a prospect because I am not fulfilling.  What do I need to do, and or look for help with this? ","February 16, 2018 ",  9:44 pm,3 
JohnNovack,"New column: ""Multiple Sclerosis, Illusions, and 'Working Understandings'""","From: John Novack, InspireDear members, I'm writing to share with you the second in a series of “Experts by Experience” columns, as part of a collaboration between Inspire and Mayo Clinic. We invite you to read ""Multiple Sclerosis, Illusions, and 'Working Understandings,'"" by Gil Greenman. In his column, Mr. Greenman, who has secondary progressive MS, wrote, ""People like me often live in a world of denial and illusions. We sometimes call them 'working understandings.' They are based on some facts, some experience, and more often hope. Some serve us for years and drive many good decisions.""The first column in the Mayo/Inspire series was ""Kindness at the Margins for Caregivers,"" by patient advocate Renata Louwers.  We invite you to comment on Mr. Greenman's column, and share it and other columns in the series widely. Thanks for being Inspire members. Sincerely,John NovackCommunications DirectorInspirejohn@inspire.com ","February 23, 2018 ",  2:47 pm,1 
Fredo101,Have you ever been diagnosed with genital herpes? Tell us about it! - Sexually transmitted diseases,"ASHA is looking to learn more about how patients are being diagnosed with genital herpes and better understand the patient experience. If you've been diagnosed with genital herpes, please take our short survey and (if you chose) enter to win an Amazon gift card. https://www.research.net/r/herpes_diagnosis "," 2, 2018",3:23 pm,0 
justcurious32,Possible STI? - Sexually transmitted diseases,"I have some tiny white bumps, they cannot be popped even if i try, there is no puss or residue. It started about a year ago with just 1, i went to the doctor to get checked and everything came out negative. He said don't worry about it. Now there are about 6-7 in random spots. They are not itchy or painful and none of them are bunched up together. There is also no pattern. What can they be? ","March  2, 2018 ",  3:23 pm,4 
Flintyvirus50,White bumps on penis - Sexually transmitted diseases,I received oral sex from my partner who has never had a sexual partner before. A few days later I got white spots on the head of my penis. Worried that this could be an std. can post pictures if needed. ,"February 11, 2018 ",  2:32 am,1 
Fredo101,Had a postive experience with female condoms? - Sexually transmitted diseases,"February is National Condom Month, a time when ASHA celebrates all things condom. While the male condom is well known as a reliable method to prevent both sexually transmitted infections (STIs) and unintended pregnancy, its not the only tool that can do so. The female condom offers women the advantage of a form of contraception and STI prevention that she can control.During condom month, we want to learn more about women’s positive experiences with the female condom. While no one contraceptive is the right choice for everyone, many women (and men) prefer the female condom above other options. We want to hear from female condom users and share your feedback with others. Just go to this link - http://www.ashasexualhealth.org/positive-experience-female-condoms-tell-us/ - type your comments in the box and hit “Done.” Comments are totally anonymous and will be shared on the ASHA site during Condom Month. ","February 10, 2018 ",  9:17 pm,0 
SusanBannister,Ectopic Pregnancy - @SusanBannister - Sexually transmitted diseases - 20180126,"Hey. I am likewise experiencing such disease. I had an ectopic pregnancy. It was the most noticeably bad time. It prompts premature delivery. I was crushed. From that point forward, I am having inconveniences. My specialist says it is the bacterial disease. It is bothersome and excruciating. I truly don't recognize what to do. Compassionately do abandon a few recommendations. ","January 30, 2018 ",  3:08 pm,2 
Fredo101,Treat Me Right: The Continued Evolution of Therapies for Cervical Cancer - Sexually transmitted diseases,"http://www.ashasexualhealth.org/sexhealth-podcast/Treat Me Right: The Continued Evolution of Therapies for Cervical Cancer. The development of new treatment options for cervical cancer has been frustratingly slow but Dr. Kathleen Moore of the University of Oklahoma’s Stephenson Cancer Center says that may finally be changing. In this episode we chat about current therapies for cervical cancer, take a glimpse into the pipeline to see what’s being developed and finish with a discussion on the crucial role of clinical trials in expanding our treatment arsenal. ","January 26, 2018 ",  3:07 am,0 
Wednesdate,Weired STI Symptoms HELP - Sexually transmitted diseases,"Hello, i'm a 24 years old male, 82 days ago i was drunk, i had unprotected oral and vaginal sex with a girl i don't know which was the number one mistake of my whole life, then i started to develop theses symptoms:1) after less than 1 and half week after exposure,  my body started to itch in the inside and i had a big pimple on my left leg under knee and it hurts until it exploded to a green liquid. also three small ones on my mousatche area leaving a dark spots  until now after they healed.2) the second week, i noticed my stomach started to rumble, made noisy sounds even if i'm full or hungry took like 3 weeks to stop. plus, i started to develop petechiae, on my palms. one time i saw something like fighting under my  palm skin like blood on one small region leaving a little pain and a 3 or 4 red spots on the region.3) at the same time, my left leg vastus medialis muscle started to twitch, until now, but it stops sometimes and it starts to twitch again and i started to hear waving in my both ears ( Tinnitus)) i was so worried, you can't imagine.4) the sixth week or sooner, the head of my penis start to hurt and itch with a sticky liquid under the head, leaving dark 5 dots on the head after it stopped until now they still, and i remember i felt pain in my right testicle for minutes.5) the ninth week it was raining and cold outside, i went out then i came home and i developed a flu, fever, i took Advil and fever went right away, but the coughing didn't go, i cough white phlegm, normally i used to cough white phlegm, then green, then it stops, but now it's just white. if i remember this week of flu, i started to have skin issues, especially on my legs, it burns a little, and feels sticky, leaving a bad smell on my cloths and bed, plus i felt pain on left, up, my back.6) the same week the 68th day after exposure, on my way for the tests, i had pain under my feet and in the articulation of my feet,  i went to get tested for Syphilis, Hep A, B,C and HIV all results turned out Negative.7) yesterday i woke up, and i noticed a circle 1,5 mm  red spot on my noise, appear  and disappear after i pass my finger on it like a petichiae it doesn't hurt. i took a  hot shower, i saw my face on the mirror then i saw red spots on forehead and noise.8) yesterday, i saw an article online about thrush, i checked it out, i found out that i have little thrush next my throat. just to be honest, it was my first time to do such a mistake, like I'm not the kind who play around like i did, it was once, and unprotected. also i know that it needs 84 days to get tested for good results, i'm willing to go and get tested Wednesday, i just i want to know what's happening to me, is there anyone of you who had the same symptoms or close, what STD it could be? please help me i'm so worried. ","January 29, 2018 ",  2:16 pm,2 
Worried2000,Unprotected oral sex - Sexually transmitted diseases,"I had an unprotected oral sex and a protected sexual intercourse just over a week. During the intercourse, my penis fell out, and let’s just say I missed the mark going back in, which caused me to hit my partner pretty hard outside of the vagina. I didn’t think anything of it, but a couple of days later I felt my penis head is bit tender, feels like when you get hit there. I don’t have any other symptoms, like rash, sores, spots, etc. could it be from the hit, or should I worry it’s an STD? ","January 23, 2018 ",  4:04 pm,2 
Brian,What’s in a number? The million member milestone,"Dear members, Last night, Inspire hit a milestone -- one million members. One thing that is clearer than ever is that the value of this community is created by you, every minute of every day. I often think that our job is to provide you a safe, supportive space, and then get out of your way. The words you write and the friendships you forge are things we could never create on our own.We began this company ten years ago with a passionate belief that the conversations patients have with one another are just as important as the conversations they have with doctors and the rest of the traditional medical establishment.We decided early on to try to partner with the best patient advocacy organizations. I remember how incredible it was to watch new members join WomenHeart, National Osteoporosis Foundation, and Ovarian Cancer -- some of our earliest communities -- and begin sharing their stories. It was clear right away that all of us, as patients and caregivers and families and friends need to find others having experiences like our own.  We barely anticipated just how strong this drive to find others like ourselves would be. I spoke with one early member who joined Inspire with his real name rather than a nickname. I explained to him that he might not remain anonymous if he used his real name, but he interrupted and told me that he had a terminal cancer diagnosis. “I want anyone who is looking for me to be able to find me,” he told me.It has been especially gratifying to see connections, forged in over nine million discussions and over 1.5 billion words, turn into face-to-face meetings. Members have organized events like the annual North Carolina Bladder Cancer Awareness Picnic and the annual Inspire gatherings at the Ovarian Cancer National Conference.More recently, Inspire’s rare disease communities have been a great example of strength in numbers. One quarter of Inspire members are affected by a rare or ultra-rare disease. Many members who never met someone else with their rare condition did so for the first time on Inspire. The information these members share is not only valuable to others with their condition, it could lead to insights that accelerate medical progress -- one of our primary goals.As far as we have come, there is still work yet to do. We will continue to build ways for you to find what you are looking for, and we continue to think about how to make Inspire the best it can be for each of you. Ten years and a million members later, I am still struck by the vivid, authentic, heartfelt stories you share, and the value you bring to one another. Thank you for creating this community.Together, we’re better. Brian CEO, Inspire ","January 14, 2018 ",  6:32 am,120 
Brian,Share your favorite post,"Dear members,I often think about the Inspire community in its entirety. Our collective knowledge of illness, health, and the many pathways between them is expansive and varied. However, I suspect the experience for most of you is more particular, as you settle into one or a few communities that are most important to you.The connections we create with one another in our small groups can run deep and lead to wonderful things, like the women with a rare heart disease who connected in Inspire’s WomenHeart community and banded together to initiate a research effort at the Mayo Clinic. Or the man who cultivated a rich support network for himself and others over many years in the Lung Cancer Survivors community.But our shared community has so much helpful information that inevitably some of us won’t discover some of the many useful posts.So, I’d love to know, and I think others would too: what are your favorite posts on Inspire, ones that you return to and re-read?Maybe it’s a useful bit of information about a treatment. Maybe it’s some good advice or a few encouraging words. Maybe someone told a story that stuck with you. Maybe it’s an illuminating, long-running conversation that you check in on or participate in. Or perhaps it’s not a single post but a person whose writing you follow.I invite you to leave a link to your favorite post (or poster) in a comment below, and please describe why you return to it. Thank you! Together, we’re better.Brian LoewFounder & CEO ","February  8, 2017 ", 10:54 am,77 
Fredo101,HPV Update for January - Sexually transmitted diseases,"January is Cervical Health Month and ASHA has a page of resources at http://www.ashasexualhealth.org/january-cervical-health-awareness-month/. Here you'll find podcasts, free downloads, and more. We also published our most recent HPV Update newsletter and you'll find it at http://www.nccc-online.org/images/pdfs/HPV_Update_Winter_2017_2018.pdf. Feel free to download and share as you like. "," 5, 2018",10:45 am,0 
tanzi2742,Advice on dealing with HPV? - Sexually transmitted diseases,"So I was diagnosed with HPV the  day before Thanksgiving after a positive test from my first PAP Smear. I don't know what to do now. I don't want to give it to anyone, and the guy I was seeing stopped talking to me after I told him I have it. I don't know whether to be abstinent for the next year until I get another PAP to test for it again or what. Because I read that condoms still can't protect 100% against HPV. I have depression and anxiety as well so it's just made me feel awful and I'm not dealing with it very well. I just need some support and advice.Thank you ","January  5, 2018 ", 10:45 am,2 
Fredo101,Free Personal Sexual Health App! - Sexually transmitted diseases,"Your PSH is a free app from the Mississippi Department of Health - @msdh -  for personal sexual health: prevention, testing, treatment and more. Available for iPhone and Android! http://ow.ly/kNcj30hrkhP #SayYesToPrEP #Mississippi #ispeaksexhealth ","December 18, 2017 ",  1:40 pm,0 
Fredo101,"Find Coverage, Compare Plans & Reduce HIV Risk - Sexually transmitted diseases","If you take PrEP to reduce HIV risk, find the coverage you need & compare health plans at http://prepcost.org/. #SayYesToPrEP #Mississippi #ISpeakSexHealthPrEP is one pill, one time daily, to reduce the risk of acquiring HIV by 90% or better. Along with condom use and testing it is a powerful tool to prevent new infections. Find a clinic near you and learn more about PrEP and HIV prevention at www.sayyestoprep.org ","December 26, 2017 ",  3:31 pm,0 
dinesh123,Hello Everyone - @dinesh123 - Sexually transmitted diseases - 20171205,Hi everyoneThis is Dinesh. I am suffering from depression and hope to find some help here. ,"December 26, 2017 ",  3:29 pm,2 
fluffhead1,Diagnosed .Need advice - Sexually transmitted diseases,"Had a a wart removed 5 years ago...It came back and has been there 2 years. Like a dumbass, I never removed it while during that time I wasn't dating.I only have 1 wartSo I meet a fantastic woman...Were dating...Then I decided get the wart burned off..1 treatment of TCA and need another.Have not had sex yet but the recovery of the wart is taking a while and she is pressuring me for sex....Trying to play it off...Should I tell her or not???Heres my options...Option oneJust tell her that I can't see her right now I've got too much going on. Leave it at that. That way the door is open in the future. Option twoTell her about my problem. Risk that she might totally abandon me and be done with me forever. Option three. Don't tell her and roll the dice. She more than likely will find out since she's a Registered nurse. Option fourGo to the doctor and get a treatment. Explain to her that you had a boil burned offHELLLLLLPPPPPP!!!!!! ","December  5, 2017 ",  8:13 am,7 
DepressedKid,Worried sick is this Herpes? - Sexually transmitted diseases,After an encounter almost 5 weeks ago I heavily cleaned my penis with peroxide. Even inside the penis hole. I had a skin irritation for a few days but no visible lesions or symptoms. The encounter was very quick about 30 seconds I recieved oral sex without ejaculation. Now weeks later I still have no pinpointing symptoms but I have high anxiety of contracting Herpes asympmtomatically. I have an irritation just Inside my penis hole and it looks reddish upon very close observation. It’s not painful to urinate but irritating and makes me very worrisome. Does this sound like herpes? Would a first outbreak be herpetic urethritis without lesions or blisters Externally  to accompany? Could I have given myself urethritis from the peroxide? Ive read chemical irritants inflame or irritate the male urethra ,"April 27, 2017 ", 10:47 pm,2 
worrydoll,Syphilis and suppository - Sexually transmitted diseases,"I've just found out I have Syphilis and am worried about whether it's possible I passed it to my daughter when I had to apply a glycerine suppository yesterday to help her poop. I had been to the toilet myself, shortly before, and the worst part is I don't remember washing my hands - she was crying and I was flustered. I dipped the suppository in water before applying it. She had been saying the poop was ready to come out but it was hurting her butt too much, so I take that to mean there could even have been some tearing inside her anus, from the extremely little I know about these things. The crying got worse while waiting for the suppository to take effect, and she said it was stinging. I haven't had any symptoms myself, so I was shocked when I got the results, but then I remembered my partner had some weird thing on the corner of his mouth a couple of weeks back. I want to just get my daughter checked, but I guess that will mean having blood samples taken and/or extremely invasive examinations, and to make matters worse, we're in the thick of a hideous custody battle. How worried should I be? ","August 30, 2017 ",  1:18 pm,3 
Mommabear17,Breastfeeding with Genital herpes - Sexually transmitted diseases,I was hoping to find other moms who have breastfeed their children successfully with HSV-2. I have been exclusively pumping and bottle feeding due to an article I read about contracting HSV through breastfeeding and so I’ve stopped but desperately want to breastfeed and was hoping I’m being completely irrational about this. I’ve never had an outbreak on my nipples nor did I realize that was possible. Hoping to be able to breastfeed again without risking my babies health. ,"November 24, 2017 ",  1:44 pm,1 
